"inclS","PRI","covS","covU","cases","path"
0.787949781084553,0.688112502480449,0.241279936581798,0.135594892897341,"179,173,177; 142,147,156,3,46","~AI_CAP*~CULT*STRUCT*~SIZE"
0.762531349744106,0.637776828651261,0.118779997487544,0.0350699988554939,"120; 136","~AI_CAP*CULT*~STRUCT*~DYN"
0.813923125996181,0.697109210430101,0.174824330149587,0.0447517405004652,"72; 43","AI_CAP*CULT*~STRUCT*~SIZE"
0.803720191872193,0.694717580364788,0.112929536703718,0.00483199210700359,"44,19; 72","AI_CAP*~STRUCT*~SIZE*~DYN"
