"condition","consistency","coverage","RoN","necessary"
"STRUCT",0.908,0.55,0.326,TRUE
"DYN",0.702,0.538,0.54,FALSE
"CULT",0.682,0.606,0.666,FALSE
"SIZE",0.644,0.659,0.756,FALSE
"~AI_CAP",0.559,0.55,0.685,FALSE
"AI_CAP",0.531,0.534,0.686,FALSE
"~CULT",0.528,0.598,0.76,FALSE
"~SIZE",0.453,0.438,0.627,FALSE
"~DYN",0.393,0.556,0.806,FALSE
"~STRUCT",0.211,0.588,0.918,FALSE
