"crossover_shift","n_paths","consistency","coverage","solution","jaccard_vs_baseline","identical_to_baseline"
-0.5,0,NA,NA,"<none>",NA,FALSE
0,1,0.727,0.221,"AI_CAP*SIZE*DYN",1,TRUE
0.5,1,0.74,0.24,"AI_CAP*SIZE",0,FALSE
