"Deal_ID","AI_CAP","CULT","STRUCT","SIZE","DYN","OUT"
136,0.0010132977408141,0.67,0.33,0.9725524643201,0.497398928959457,0.000109163322276729
76,0.983936524996531,0.67,0.67,0.0303411052408257,0.461062581948536,0.499
80,0.5862128741664,0.67,0.67,0.216784262893819,0.461062581948536,0.804368835015188
124,0.311564410582058,0.33,0.95,0.670675574122092,0.497398928959457,0.00627863140354361
115,0.0456127065358472,0.67,0.67,0.546254051039618,0.461062581948536,0
52,0.928678197844887,0.67,0.95,0.0213872852678145,0.502184288017853,0.899528560347589
4,0.928678197844887,0.67,0.95,0.660867694088724,0.314249123138917,0.00388106253855918
51,0.928678197844887,0.67,0.95,0.0336512288119983,0.502184288017853,0.899528560347589
142,0.00414958449382606,0.33,0.95,0.18803315056338,0.944778205177169,0.296708716468894
5,0.736087698041927,0.33,0.67,0.0297500818089966,0.314249123138917,0.00060249822963795
85,0.144647391244145,0.67,0.95,0.0268351216528985,0.461062581948536,0.305116945467159
36,0.0469671261767974,0.67,0.95,0.990982547608383,0.481800382447473,0.14384294835712
135,0.999132277080534,0.33,0.95,0.0302473477804159,0.944778205177169,0.253579871383674
139,0.914268374059551,0.33,0.95,0.501506815500105,0.944778205177169,0.999583225290888
88,0.0132906796923511,0.33,0.95,0.999588803141771,0.461062581948536,1
130,0.959695039730595,0.33,0.67,0.114753640290352,0.944778205177169,0
49,0.0469671261767974,0.95,0.95,0.52629167593364,0.502184288017853,0.958961178651902
168,0.996534856177846,0.33,0.95,0.99987354430057,0.0500000000000001,0.999644218632108
48,0.122114347975988,0.33,0.95,0.84811588170329,1,0.294067077800248
15,0.0469671261767974,0.67,0.95,0.988687107605531,0.999749452151132,0.376394289106187
67,0.935806551460867,0.67,0.67,1,0.461062581948536,1
77,0.0112844255271573,0.67,0.95,0.0421996713554641,0.461062581948536,1
56,0.994752853182388,0.67,0.95,0.237867925418835,1,0.130376853821136
44,0.7781162726264,0.33,0.33,0.0211175283888323,0.481800382447473,0.940627789088377
145,0.483801101084297,0.67,0.67,0.822170924739894,0.944778205177169,0.79234046195701
79,0.483801101084297,0.67,0.67,0.984259452653362,0.461062581948536,0.663832523641419
20,0.068840421438345,0.67,0.67,0.268045213592689,0.314249123138917,0.999609444800636
1,0.994752853182388,0.67,0.95,0.448157022153954,0.999749452151132,0.873980833094037
2,0.0469671261767974,0.67,0.95,1,0.999749452151132,0.937643870121369
