"condition","consistency","coverage","RoN","necessary"
"STRUCT",0.947,0.561,0.331,TRUE
"CULT",0.769,0.667,0.702,FALSE
"~DYN",0.699,0.571,0.614,FALSE
"~AI_CAP",0.643,0.612,0.711,FALSE
"~CULT",0.622,0.687,0.803,FALSE
"AI_CAP",0.607,0.603,0.725,FALSE
"DYN",0.513,0.615,0.792,FALSE
"~STRUCT",0.26,0.707,0.94,FALSE
