"inclS","PRI","covS","covU","cases","path"
0.744421761308458,0.534083844968865,0.636890881516666,0.0932169118045341,"142,88,87,110,160,134,179,173,187,73,147,177,156,107,65,96; 124,48,16,3,46,32,18; 44,19; 135,139,130,168,159,129,102,70,169,163,140,114,176,82,192,151,137,194; 5,50,58","~CULT"
0.856558626058818,0.670954423070669,0.297607904172732,0.00939766247692708,"120; 136; 44,19; 72; 43","~STRUCT"
0.698055798685478,0.499140339002683,0.473592425985518,0.0827992289307374,"142,88,87,110,160,134,179,173,187,73,147,177,156,107,65,96; 120; 115,85,77,145,79,128,170,74,83,97,62,185,104,155,86,171,188,75,127,68,94,180,166","~AI_CAP*~DYN"
0.770910597676618,0.544198842699365,0.364641271157124,0.0611862220422574,"44,19; 5,50,58; 43; 52,4,51,56,1,34,42,47,60,28,29,45,6,57,14,40,35,53,41","AI_CAP*DYN"
