"condition","consistency","coverage","RoN","necessary"
"STRUCT",0.898,0.562,0.332,FALSE
"CULT",0.732,0.672,0.705,FALSE
"~DYN",0.696,0.602,0.631,FALSE
"~CULT",0.637,0.744,0.833,FALSE
"~AI_CAP",0.622,0.626,0.719,FALSE
"AI_CAP",0.614,0.646,0.747,FALSE
"DYN",0.504,0.639,0.802,FALSE
"~STRUCT",0.298,0.857,0.97,FALSE
