"variable","min","mean","max","prop_in_0.95","prop_out_0.05","prop_at_0.5"
"AI_CAP",0.016,0.489,1,0.057,0.057,0
"CULT",0.33,0.56,0.95,0.007,0,0
"STRUCT",0.33,0.821,0.95,0.593,0,0
"DYN",0.028,0.405,0.992,0.107,0.129,0
"OUT",0.002,0.486,1,0.1,0.1,0
