"model","paths"
"M1","AI_CAP*DYN + ~CULT*STRUCT + CULT*~STRUCT + ~AI_CAP*CULT*~DYN"
"M2","AI_CAP*DYN + ~CULT*STRUCT + CULT*~STRUCT + ~AI_CAP*STRUCT*~DYN"
