ticker,company,country,isin,rd_int_Y0,rd_int_Y1,AIS_a_raw,status,AIS_a_z
PSFE,Paysafe Ltd,BM,BMG6964L2062,,,,AIS-b only (no R&D line reported),
AIF,Altus Group Ltd,CA,CA02215R1073,0.0,0.0,0.0,computed,-1.1899315199948666
DND,Dye & Durham Ltd,CA,CA2674881040,0.17752860103452345,0.2096429877744649,0.1935857944044942,computed,0.48592330412049534
OTEX,Open Text Corporation,CA,CA6837151068,0.12446328609630802,0.1260640143063056,0.1252636502013068,computed,-0.10553535796281531
STC,Sangoma Technologies Corporation,CA,CA80100R1010,0.1625046165906007,0.1522518185708173,0.157378217580709,computed,0.17247756562337704
DB1,Deutsche Boerse Ag,DE,DE0005810055,0.06430670266836086,0.08208106431377955,0.0731938834910702,computed,-0.5562986487318702
SAP,Sap Se,DE,DE0007164600,0.18640902234034912,0.20596205962059622,0.19618554098047267,computed,0.5084290765829492
SIE,Siemens Ag,DE,DE0007236101,0.07780263139614044,0.0814614994257632,0.07963206541095182,computed,-0.5005638864671271
GN,Gn Store Nord A/S,DK,DK0010272632,0.0751859581527265,0.08532008830022075,0.08025302322647362,computed,-0.4951883104652023
CRTO,Criteo Sa,FR,US2267181046,0.09300729845220855,0.1242861429791556,0.10864672071568207,computed,-0.24938662311444112
SOP,Sopra Steria Group Sa,FR,FR0000050809,,,,AIS-b only (no R&D line reported),
ABDN,Abrdn Plc,GB,GB00BF8Q6K64,0.0,0.0,0.0,computed,-1.1899315199948666
APTV,Aptiv Plc,GB,JE00BTDN8H13,0.06404025387386357,0.0,0.032020126936931785,computed,-0.9127361588315392
FUTR,Future Plc,GB,GB00BYZN9041,0.0,0.0,0.0,computed,-1.1899315199948666
LSEG,London Stock Exchange Group Plc,GB,GB00B0SWJX34,0.0,0.0,0.0,computed,-1.1899315199948666
WNS,Wns (Holdings) Ltd,GB,US92932M1018,,,,AIS-b only (no R&D line reported),
JTKWY,Just Eat Takeaway.Com Nv,NL,US48214T3059,0.0,0.0,0.0,computed,-1.1899315199948666
PRX,Prosus N.V.,NL,NL0013654783,0.0,0.0,0.0,computed,-1.1899315199948666
ERICB,Telefonaktiebolaget Lm Ericsson,SE,SE0000108656,0.1741804335177097,0.19238203006633733,0.18328123179202352,computed,0.3967176316814082
HEXAB,Hexagon Ab,SE,SE0015961909,0.11766602934740042,0.11764363918224979,0.1176548342648251,computed,-0.17140419370142917
SINCH,Sinch Ab,SE,SE0016101844,0.00605789967425808,0.01349109010893875,0.009774494891598415,computed,-1.1053145961768454
ADBE,Adobe Inc.,US,US00724F1012,0.1609122584732341,0.16965807111212086,0.16528516479267746,computed,0.24092729702006904
ADSK,Autodesk Inc.,US,US0527691069,0.24601625158294638,0.2541491884005107,0.25008271999172854,computed,0.9750121114077683
ADTN,Adtran Holdings Inc.,US,US00486H1059,0.16943042467548677,0.22479418675485163,0.1971123057151692,computed,0.5164519956005292
AKAM,Akamai Technologies Inc.,US,US00971T1016,0.10823097813614463,0.10652059854351613,0.10737578833983039,computed,-0.26038897047028614
ALLY,Ally Financial Inc.,US,US02005N1000,,,,AIS-b only (no R&D line reported),
AMD,Advanced Micro Devices Inc.,US,US0079031078,0.21206728528452184,0.2589065255731922,0.23548690542885703,computed,0.8486574564997137
APP,Applovin Corporation,US,US03831W1080,0.18019046821187212,0.18043566923447352,0.18031306872317282,computed,0.3710225107506803
APPS,Digital Turbine Inc.,US,US25400W1027,0.06415927086954164,0.0705233842877704,0.06734132757865602,computed,-0.6069636992816563
AVGO,Broadcom Inc.,US,US11135F1012,0.14665401044138585,0.18051731492612558,0.1635856626837557,computed,0.22621486000168095
BILL,Bill.Com Holdings Inc.,US,US0900431000,0.3787169747969698,0.34241750641396107,0.3605672406054654,computed,1.931466676837935
BKNG,Booking Holdings Inc.,US,US09857L1089,0.03759810184340208,0.03077823288472791,0.03418816736406499,computed,-0.8939676277011168
BSY,Bentley Systems Inc.,US,US08265T2087,0.22891654905569267,0.23461033844608498,0.2317634437508888,computed,0.8164237833904493
CARG,Cargurus Inc.,US,US1417881091,0.11186253971891151,0.07478270852278047,0.09332262412084599,computed,-0.3820459501206671
CART,Maplebear Inc.,US,US5653941030,0.20065430752453653,0.20305762446099568,0.20185596599276612,computed,0.5575174362989541
CDLX,Cardlytics Inc.,US,US14161W1053,0.14264963536441097,0.1823361537070161,0.16249289453571353,computed,0.21675486435391358
CRM,Salesforce.Com Inc.,US,US79466L3024,0.16930171277997366,0.16854144647440736,0.1689215796271905,computed,0.27240741342866165
CRWD,Crowdstrike Holdings Inc.,US,US22788C1053,0.2454948206733925,0.2557760641060792,0.2506354423897359,computed,0.9797969795327599
DASH,Doordash Inc.,US,US25809K1051,0.12593042685705605,0.11615518239722061,0.12104280462713833,computed,-0.14207483876033813
DOCN,Digitalocean Holdings Inc.,US,US25402D1028,0.24966077991123017,0.20258080717695892,0.22612079354409453,computed,0.7675758676694588
EFX,Equifax Inc.,US,US2944291051,,,,AIS-b only (no R&D line reported),
EGHT,8X8 Inc.,US,US2829141009,0.1761192860388949,0.19654863711760925,0.18633396157825208,computed,0.4231448390842517
FDS,Factset Research Systems Inc.,US,US3030751057,0.0,0.0,0.0,computed,-1.1899315199948666
FFIV,F5 Inc.,US,US3156161024,0.19690552719964843,0.20155758213102018,0.19923155466533432,computed,0.5347981432998524
FOUR,Shift4 Payments Inc.,US,US82452J1097,,,,AIS-b only (no R&D line reported),
FTV,Fortive Corporation,US,US34959J1088,0.06752050545226179,0.06891875654427794,0.06821963099826986,computed,-0.5993603055134061
HPE,Hewlett Packard Enterprise Company,US,US42824C1099,0.07122804491793838,0.07176445816956765,0.07149625154375303,computed,-0.5709948959293236
HPQ,Hp Inc.,US,US40434L1052,0.026275631855030998,0.029375628281023122,0.02782563006802706,computed,-0.9490475412556185
IBM,International Business Machines Corporation,US,US4592001014,0.11312793150947673,0.10849165702957211,0.11080979426952442,computed,-0.23066108975971214
ICE,Intercontinental Exchange Inc.,US,US45866F1049,0.0,0.0,0.0,computed,-1.1899315199948666
JPM,Jp Morgan,US,US46625H1005,,,,AIS-b only (no R&D line reported),
MGNI,Magnite Inc.,US,US55955D1000,0.1589387997344224,0.16247103899187101,0.1607049193631467,computed,0.20127652397484783
